,ID,Acronym,Name,Parent Region,Layer,Ancestors,Graph Order
456,375,CA,Ammon's horn,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region']",456
457,382,CA1,Field CA1,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn""]",457
458,391,CA1slm,"Field CA1, stratum lacunosum-moleculare",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn"", 'Field CA1']",458
459,399,CA1so,"Field CA1, stratum oriens",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn"", 'Field CA1']",459
460,407,CA1sp,"Field CA1, pyramidal layer",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn"", 'Field CA1']",460
461,415,CA1sr,"Field CA1, stratum radiatum",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn"", 'Field CA1']",461
462,423,CA2,Field CA2,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn""]",462
463,431,CA2slm,"Field CA2, stratum lacunosum-moleculare",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn"", 'Field CA2']",463
464,438,CA2so,"Field CA2, stratum oriens",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn"", 'Field CA2']",464
465,446,CA2sp,"Field CA2, pyramidal layer",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn"", 'Field CA2']",465
466,454,CA2sr,"Field CA2, stratum radiatum",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn"", 'Field CA2']",466
467,463,CA3,Field CA3,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn""]",467
468,471,CA3slm,"Field CA3, stratum lacunosum-moleculare",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Hippocampal formation', 'Hippocampal region', ""Ammon's horn"", 'Field CA3']",468
